,2023,2022,2021,2020,2019,CAGR,2023 growth,2022 growth,2021 growth,2020 growth
Mkt Cap,,,,,331556.568,,,,,
Debt to Equity,,,,,9.223698419195758,,,,,
Debt to Assets,,,,,0.9021880381249876,,,,,
Revenue per Share,,,,,32.10134259804499,,,,,
NI per Share,,,,,9.561300200211988,,,,,
Revenue,,,,,109029.0,,,,,
Gross Profit,,,,,0.0,,,,,
R&D Expenses,,,,,0.0,,,,,
Op Expenses,,,,,0.0,,,,,
Op Income,,,,,0.0,,,,,
Net Income,,,,,32474.0,,,,,
Cash,,,,,278793.0,,,,,
Inventory,,,,,0.0,,,,,
Cur Assets,,,,,0.0,,,,,
LT Assets,,,,,0.0,,,,,
Int Assets,,,,,6878.0,,,,,
Total Assets,,,,,2622532.0,,,,,
Cur Liab,,,,,0.0,,,,,
LT Debt,,,,,282031.0,,,,,
LT Liab,,,,,0.0,,,,,
Total Liab,,,,,2366017.0,,,,,
SH Equity,,,,,256515.0,,,,,
CF Operations,,,,,14187.0,,,,,
CF Investing,,,,,-197993.0,,,,,
CF Financing,,,,,34158.0,,,,,
CAPEX,,,,,0.0,,,,,
FCF,,,,,14187.0,,,,,
Dividends Paid,,,,,-10109.0,,,,,
Gross Profit Margin,,,,,0.0,,,,,
Op Margin,,,,,0.0,,,,,
Int Coverage,,,,,0.0,,,,,
Net Profit Margin,,,,,0.2978473617111044,,,,,
Dividend Yield,,,,,0.030489518156672436,,,,,
Current Ratio,,,,,0.0,,,,,
Operating Cycle,,,,,,,,,,
Days of AP Outstanding,,,,,0.0,,,,,
Cash Conversion Cycle,,,,,,,,,,
ROA,,,,,0.012382689705978802,,,,,
ROE,,,,,0.12659688517240708,,,,,
ROCE,,,,,0.0,,,,,
PE,,,,,10.20990848063066,,,,,
PS,,,,,3.0409943042676724,,,,,
PB,,,,,1.2925426115431846,,,,,
Price To FCF,,,,,23.370449566504547,,,,,
PEG,,,,,0.24101456822306577,,,,,
EPS,,,,,9.04,,,,,
